,lambda_l1,lambda_l2,num_leaves,learning_rate,max_depth,min_child_samples,num_iterations
0,0.09242582537855007,0.000329295986786837,97,0.0677742437921607,5,88,257
1,6.770616294317788e-05,0.0061456924204207185,210,0.022626208647904714,4,161,253
2,0.00026236167699802125,0.0006465056772101366,242,0.042039406531154816,7,145,645
3,1.340678397351134e-06,0.10728333305043808,72,0.09528694540222321,8,194,740
4,1.6146728003458068,0.0437289307760878,208,0.043504684234376235,8,71,343
5,0.017063139509881916,0.018229366979273093,12,0.045878143539430254,8,37,292
6,0.6878841679778371,4.779626734296492e-08,217,0.03967922024033035,7,168,116
7,0.00613860677738377,0.05428903112382478,172,0.021115585994121007,6,75,213
8,0.48350732543619285,0.0692706775127896,215,0.03594618945691894,4,100,557
9,1.842607315683782e-06,4.4768718851295386e-05,19,0.007755943772181918,5,109,295
10,1.289637348265927e-08,2.2363744871784976e-06,19,0.0052991485974987415,3,126,902
11,1.5758892335731042e-08,3.7516154383240334e-06,9,0.003121694022110065,3,125,1000
12,1.2248508686904158e-08,1.0414419768715304e-05,57,0.011508912295256784,3,121,994
13,5.614866631738019e-07,3.4386770987561315,131,0.0020151224903302836,5,132,441
14,2.5802741853550005e-07,4.246196335967514,145,0.001801277591744793,4,139,429
15,1.705760786006458e-06,5.608208727075353,144,0.02348861939857214,4,146,441
16,9.174919995516557e-06,9.586280401395163,131,0.0018721001120628458,6,196,450
17,1.6480091315827139e-07,0.9085563941522335,165,0.01718052604308124,5,172,441
18,1.6147011927672112e-07,0.9890912292632511,106,0.028997587979035976,4,143,663
19,4.11511829127914e-05,0.8495388774675221,169,0.014067954812541424,6,137,532
20,0.0017836547085104397,0.0038356317424770568,103,0.05695342362678017,5,53,371
21,4.808479764212924e-06,8.846979718957074,135,0.00188574521140612,6,196,482
22,1.1030175661681835e-05,5.357495935916632,120,0.0017281755772326328,7,183,590
23,2.447769752648059e-07,1.539576516536458,149,0.01134449440615494,6,162,416
24,1.652944469944915e-05,0.31003180094596333,187,0.013705478089128543,5,101,703
25,0.00010849210756218906,0.3422691065741456,66,0.030915254092568026,4,184,804
26,0.0005712688535023334,9.913930103085443,119,0.00918200712183042,6,154,496
27,4.2832391333367515e-07,1.9443799168503144,86,0.018059825800017953,5,179,148
28,9.79079546187331e-06,0.1905095921286721,153,0.0023466356530695855,7,110,369
29,4.642636349867078e-08,2.249544660006508,128,0.029759945250132466,5,133,203
30,6.825824905081064e-08,0.26657230092916884,88,0.010892855074946698,4,88,581
31,5.264222560664867e-06,9.485666723940835,137,0.0016513432842055337,6,200,476
32,1.0686227474257555e-06,3.4364757457517396,186,0.009247153837768349,6,197,487
33,4.213012893322982e-06,9.70631807432996,112,0.02198827339193796,6,156,406
34,7.9055037873107e-07,0.6136620110647476,134,0.0011372353558558974,5,186,617
35,3.9969681427318114e-07,1.022625458179892,158,0.007250543959084883,4,173,636
36,8.558816781089929e-07,0.02045136419969458,181,0.017606420440742725,5,150,331
37,6.608971619908694e-08,0.30210721142793034,140,0.007104891565452737,5,186,792
38,3.899237658751293e-05,2.1396723841053427,198,0.015175634754912154,4,169,623
39,5.503252131127699e-07,0.09969958319891097,48,0.0012804900233415817,7,137,545
40,2.977127206395561e-06,0.08717951680617902,40,0.02455602888857432,7,163,540
41,7.520888671021556e-07,2.4612237578342713,247,0.005846262992606425,8,136,497
42,4.029797370584661e-07,0.6182360709384872,123,0.005700486296485608,7,120,590
43,1.4375537372357096e-06,0.12786999208200744,87,0.0017510490443006226,7,190,692
44,2.8593378906459697e-06,0.5266221658066065,230,0.013475718430093583,3,130,308
45,9.619115298195444e-08,4.225797791064288,45,0.008471690612558702,8,141,243
46,3.718732821940963e-08,0.03152639070598576,95,0.0010270227618819415,5,115,540
47,3.442797167945301e-08,0.033504369769962655,32,0.019512204434613822,5,93,749
48,2.9037793005871773e-08,0.006095740651634512,76,0.006048930742316496,6,113,533
49,2.1481099965066278e-07,0.10005119138706765,94,0.012095454111511758,8,103,605
